"id","premise","hypothesis","trial","response","Answer.condition","Answer.time_in_minutes","anon_id"
"screener_3","Hölderlin was born in 1770, two years after Winckelmann's death. Like many German poets of his age, he came from a clerical family and was intended for the church. The passion of his life, however, was Greece.","Hölderlin became personally acquainted with Winckelmann in 1789.",9,"0.00","context",9.03385,"12"
"screener_2","12-3-3 Excise Taxes<br>Revenue from excise duties on home-produced goods and services and imports comes mainly from three sources: tobacco, alcoholic drinks and hydrocarbon oil (predominantly petrol and diesel oil). In the UK, tobacco, for example, is taxed as a specific duty per unit of quantity and an ad valorem element based on the recommended retail price of 21 per cent.","There is more excise tax revenue from tobacco than from fashion.",10,"95.59","context",9.03385,"12"
"screener_5","Drug dealer Robert McCubbin was shot two times in the shoulder and back with a pump action shot gun. It happened outside his home at Wainers Croft in Milton Keynes in June last year. At Northampton Crown court John Baillie has denied murder.","John Baillie was accused of murdering a drug dealer.",11,"84.29","context",9.03385,"12"
"screener_7","On the desk, Ms. Ellis always kept a bowl of candy. She filled it evenly with chocolate (for her favorites) and licorice (for everyone else). While she wasn’t looking, Dan reached in, quickly grabbed a handful, and tossed one to me.","Dan tossed me a chocolate.",12,"50.30","context",9.03385,"12"
"screener_6","He was taken to another hospital where a diagnosis of vertigo due to otitis media was made, and he was discharged on oral antibiotics. The next morning the patient could not be roused. In the emergency room he appeared deeply comatose: his eyes were closed and he did not react to noxious stimuli.","The patient was faking illness.",13,"2.21","context",9.03385,"12"
"screener_9","He pulled out the slip of paper with her number on it. In horror, he saw that the last number had been torn off. But things weren’t so bad: there were only 10 numbers to try.","Her number ends in 1, 2, or 3.",14,"33.69","context",9.03385,"12"
"screener_8","Nofziger, who had headed the White House Office of Political Affairs in 1981-82, had been convicted of illegal lobbying for the Wedtech Corp. within a year of leaving office, fined $30,000 and sentenced to 90 days in prison [see p. 36018]. The appeals court accepted that the law was ambiguous and that Nofziger might not have known that he was committing an illegal act. On Dec. 11 the Supreme Court refused to review the unanimous refusal on Sept. 8 by the Court of Appeals to reconsider the earlier decision.","Nofziger was unaware that he was breaking the law.",15,"59.98","context",9.03385,"12"
"practice_1","","",3,"--","no-context",4.96515,"6"
"practice_1","","",3,"--","no-context",4.96515,"6"
"practice_1","","",3,"94.61","no-context",4.96515,"6"
"practice_1","","",3,"99.43","no-context",4.96515,"6"
"practice_2","","",4,"99.19","no-context",4.96515,"6"
"practice_2","","",4,"0.91","no-context",4.96515,"6"
"practice_3","","",5,"88.89","no-context",4.96515,"6"
"screener_9","He pulled out the slip of paper with her number on it. In horror, he saw that the last number had been torn off. But things weren’t so bad: there were only 10 numbers to try.","Her number ends in 1, 2, or 3.",6,"92.09","no-context",4.96515,"6"
"screener_2","12-3-3 Excise Taxes<br>Revenue from excise duties on home-produced goods and services and imports comes mainly from three sources: tobacco, alcoholic drinks and hydrocarbon oil (predominantly petrol and diesel oil). In the UK, tobacco, for example, is taxed as a specific duty per unit of quantity and an ad valorem element based on the recommended retail price of 21 per cent.","There is more excise tax revenue from tobacco than from fashion.",7,"91.35","no-context",4.96515,"6"
"screener_7","On the desk, Ms. Ellis always kept a bowl of candy. She filled it evenly with chocolate (for her favorites) and licorice (for everyone else). While she wasn’t looking, Dan reached in, quickly grabbed a handful, and tossed one to me.","Dan tossed me a chocolate.",8,"95.53","no-context",4.96515,"6"
"screener_5","Drug dealer Robert McCubbin was shot two times in the shoulder and back with a pump action shot gun. It happened outside his home at Wainers Croft in Milton Keynes in June last year. At Northampton Crown court John Baillie has denied murder.","John Baillie was accused of murdering a drug dealer.",9,"95.14","no-context",4.96515,"6"
"screener_4","Still in their pajamas, the kids tore into their Christmas stockings. They were stuffed to the brim with chocolates, playing cards, trinkets, lottery tickets, and fruits. Mom and dad sipped their coffee and smiled.","One of the kids won the lottery.",10,"96.98","no-context",4.96515,"6"
"screener_3","Hölderlin was born in 1770, two years after Winckelmann's death. Like many German poets of his age, he came from a clerical family and was intended for the church. The passion of his life, however, was Greece.","Hölderlin became personally acquainted with Winckelmann in 1789.",11,"96.71","no-context",4.96515,"6"
"screener_6","He was taken to another hospital where a diagnosis of vertigo due to otitis media was made, and he was discharged on oral antibiotics. The next morning the patient could not be roused. In the emergency room he appeared deeply comatose: his eyes were closed and he did not react to noxious stimuli.","The patient was faking illness.",12,"95.14","no-context",4.96515,"6"
"screener_10","""I don't care where you're going."" She went away, and after a minute or two he got up from his bed and went to the window. She was in the garden with the setters on their leads.","She stayed inside.",13,"70.74","no-context",4.96515,"6"
"screener_1","The following night, Vega was prepared to go on but it was decided that since the crowd seemed even more hyper than the previous evening, the risk of damage to singer and gear was felt to be too great. He was eventually paid off — and apparently he got more money for not appearing than playing his set. This is very much in the Vega/Suicide tradition: in 1978 when Suicide supported The Clash on their UK tour, there were incredible scenes of carnage as the band were attacked by meathead Clash fans with bottles and fireworks.","Most of the violent Clash fans were intoxicated from drugs and alcohol.",14,"96.20","no-context",4.96515,"6"
"screener_8","Nofziger, who had headed the White House Office of Political Affairs in 1981-82, had been convicted of illegal lobbying for the Wedtech Corp. within a year of leaving office, fined $30,000 and sentenced to 90 days in prison [see p. 36018]. The appeals court accepted that the law was ambiguous and that Nofziger might not have known that he was committing an illegal act. On Dec. 11 the Supreme Court refused to review the unanimous refusal on Sept. 8 by the Court of Appeals to reconsider the earlier decision.","Nofziger was unaware that he was breaking the law.",15,"96.88","no-context",4.96515,"6"
"practice_1","","",3,"80.95","context",69.4255,"9"
"practice_1","","",3,"100.00","context",69.4255,"9"
"practice_2","","",4,"49.55","context",69.4255,"9"
"practice_2","","",4,"0.00","context",69.4255,"9"
"practice_2","","",4,"0.34","context",69.4255,"9"
"practice_3","","",5,"84.82","context",69.4255,"9"
"screener_6","He was taken to another hospital where a diagnosis of vertigo due to otitis media was made, and he was discharged on oral antibiotics. The next morning the patient could not be roused. In the emergency room he appeared deeply comatose: his eyes were closed and he did not react to noxious stimuli.","The patient was faking illness.",6,"80.95","context",69.4255,"9"
"screener_8","Nofziger, who had headed the White House Office of Political Affairs in 1981-82, had been convicted of illegal lobbying for the Wedtech Corp. within a year of leaving office, fined $30,000 and sentenced to 90 days in prison [see p. 36018]. The appeals court accepted that the law was ambiguous and that Nofziger might not have known that he was committing an illegal act. On Dec. 11 the Supreme Court refused to review the unanimous refusal on Sept. 8 by the Court of Appeals to reconsider the earlier decision.","Nofziger was unaware that he was breaking the law.",7,"57.62","context",69.4255,"9"
"screener_10","""I don't care where you're going."" She went away, and after a minute or two he got up from his bed and went to the window. She was in the garden with the setters on their leads.","She stayed inside.",8,"0.94","context",69.4255,"9"
"screener_9","He pulled out the slip of paper with her number on it. In horror, he saw that the last number had been torn off. But things weren’t so bad: there were only 10 numbers to try.","Her number ends in 1, 2, or 3.",9,"77.60","context",69.4255,"9"
"screener_4","Still in their pajamas, the kids tore into their Christmas stockings. They were stuffed to the brim with chocolates, playing cards, trinkets, lottery tickets, and fruits. Mom and dad sipped their coffee and smiled.","One of the kids won the lottery.",10,"12.63","context",69.4255,"9"
"screener_5","Drug dealer Robert McCubbin was shot two times in the shoulder and back with a pump action shot gun. It happened outside his home at Wainers Croft in Milton Keynes in June last year. At Northampton Crown court John Baillie has denied murder.","John Baillie was accused of murdering a drug dealer.",11,"30.22","context",69.4255,"9"
"screener_2","12-3-3 Excise Taxes<br>Revenue from excise duties on home-produced goods and services and imports comes mainly from three sources: tobacco, alcoholic drinks and hydrocarbon oil (predominantly petrol and diesel oil). In the UK, tobacco, for example, is taxed as a specific duty per unit of quantity and an ad valorem element based on the recommended retail price of 21 per cent.","There is more excise tax revenue from tobacco than from fashion.",12,"76.10","context",69.4255,"9"
"screener_3","Hölderlin was born in 1770, two years after Winckelmann's death. Like many German poets of his age, he came from a clerical family and was intended for the church. The passion of his life, however, was Greece.","Hölderlin became personally acquainted with Winckelmann in 1789.",13,"0.27","context",69.4255,"9"
"screener_1","The following night, Vega was prepared to go on but it was decided that since the crowd seemed even more hyper than the previous evening, the risk of damage to singer and gear was felt to be too great. He was eventually paid off — and apparently he got more money for not appearing than playing his set. This is very much in the Vega/Suicide tradition: in 1978 when Suicide supported The Clash on their UK tour, there were incredible scenes of carnage as the band were attacked by meathead Clash fans with bottles and fireworks.","Most of the violent Clash fans were intoxicated from drugs and alcohol.",14,"67.85","context",69.4255,"9"
"screener_7","On the desk, Ms. Ellis always kept a bowl of candy. She filled it evenly with chocolate (for her favorites) and licorice (for everyone else). While she wasn’t looking, Dan reached in, quickly grabbed a handful, and tossed one to me.","Dan tossed me a chocolate.",15,"53.00","context",69.4255,"9"
"practice_1","","",3,"100.00","no-context",10.7922166666667,"8"
"practice_2","","",4,"14.65","no-context",10.7922166666667,"8"
"practice_2","","",4,"0.38","no-context",10.7922166666667,"8"
"practice_3","","",5,"86.27","no-context",10.7922166666667,"8"
"screener_8","Nofziger, who had headed the White House Office of Political Affairs in 1981-82, had been convicted of illegal lobbying for the Wedtech Corp. within a year of leaving office, fined $30,000 and sentenced to 90 days in prison [see p. 36018]. The appeals court accepted that the law was ambiguous and that Nofziger might not have known that he was committing an illegal act. On Dec. 11 the Supreme Court refused to review the unanimous refusal on Sept. 8 by the Court of Appeals to reconsider the earlier decision.","Nofziger was unaware that he was breaking the law.",6,"62.60","no-context",10.7922166666667,"8"
"screener_7","On the desk, Ms. Ellis always kept a bowl of candy. She filled it evenly with chocolate (for her favorites) and licorice (for everyone else). While she wasn’t looking, Dan reached in, quickly grabbed a handful, and tossed one to me.","Dan tossed me a chocolate.",7,"77.35","no-context",10.7922166666667,"8"
"screener_9","He pulled out the slip of paper with her number on it. In horror, he saw that the last number had been torn off. But things weren’t so bad: there were only 10 numbers to try.","Her number ends in 1, 2, or 3.",8,"30.90","no-context",10.7922166666667,"8"
"screener_3","Hölderlin was born in 1770, two years after Winckelmann's death. Like many German poets of his age, he came from a clerical family and was intended for the church. The passion of his life, however, was Greece.","Hölderlin became personally acquainted with Winckelmann in 1789.",9,"0.00","no-context",10.7922166666667,"8"
"screener_4","Still in their pajamas, the kids tore into their Christmas stockings. They were stuffed to the brim with chocolates, playing cards, trinkets, lottery tickets, and fruits. Mom and dad sipped their coffee and smiled.","One of the kids won the lottery.",10,"0.25","no-context",10.7922166666667,"8"
"screener_10","""I don't care where you're going."" She went away, and after a minute or two he got up from his bed and went to the window. She was in the garden with the setters on their leads.","She stayed inside.",11,"0.00","no-context",10.7922166666667,"8"
"screener_5","Drug dealer Robert McCubbin was shot two times in the shoulder and back with a pump action shot gun. It happened outside his home at Wainers Croft in Milton Keynes in June last year. At Northampton Crown court John Baillie has denied murder.","John Baillie was accused of murdering a drug dealer.",12,"75.60","no-context",10.7922166666667,"8"
"screener_1","The following night, Vega was prepared to go on but it was decided that since the crowd seemed even more hyper than the previous evening, the risk of damage to singer and gear was felt to be too great. He was eventually paid off — and apparently he got more money for not appearing than playing his set. This is very much in the Vega/Suicide tradition: in 1978 when Suicide supported The Clash on their UK tour, there were incredible scenes of carnage as the band were attacked by meathead Clash fans with bottles and fireworks.","Most of the violent Clash fans were intoxicated from drugs and alcohol.",13,"75.34","no-context",10.7922166666667,"8"
"screener_6","He was taken to another hospital where a diagnosis of vertigo due to otitis media was made, and he was discharged on oral antibiotics. The next morning the patient could not be roused. In the emergency room he appeared deeply comatose: his eyes were closed and he did not react to noxious stimuli.","The patient was faking illness.",14,"0.84","no-context",10.7922166666667,"8"
"screener_2","12-3-3 Excise Taxes<br>Revenue from excise duties on home-produced goods and services and imports comes mainly from three sources: tobacco, alcoholic drinks and hydrocarbon oil (predominantly petrol and diesel oil). In the UK, tobacco, for example, is taxed as a specific duty per unit of quantity and an ad valorem element based on the recommended retail price of 21 per cent.","There is more excise tax revenue from tobacco than from fashion.",15,"100.00","no-context",10.7922166666667,"8"
"practice_1","","",3,"100.00","no-context",37.4678166666667,"14"
"practice_2","","",4,"25.17","no-context",37.4678166666667,"14"
"practice_2","","",4,"0.91","no-context",37.4678166666667,"14"
"practice_3","","",5,"76.98","no-context",37.4678166666667,"14"
"screener_1","The following night, Vega was prepared to go on but it was decided that since the crowd seemed even more hyper than the previous evening, the risk of damage to singer and gear was felt to be too great. He was eventually paid off — and apparently he got more money for not appearing than playing his set. This is very much in the Vega/Suicide tradition: in 1978 when Suicide supported The Clash on their UK tour, there were incredible scenes of carnage as the band were attacked by meathead Clash fans with bottles and fireworks.","Most of the violent Clash fans were intoxicated from drugs and alcohol.",6,"14.65","no-context",37.4678166666667,"14"
"screener_3","Hölderlin was born in 1770, two years after Winckelmann's death. Like many German poets of his age, he came from a clerical family and was intended for the church. The passion of his life, however, was Greece.","Hölderlin became personally acquainted with Winckelmann in 1789.",7,"0.00","no-context",37.4678166666667,"14"
"screener_8","Nofziger, who had headed the White House Office of Political Affairs in 1981-82, had been convicted of illegal lobbying for the Wedtech Corp. within a year of leaving office, fined $30,000 and sentenced to 90 days in prison [see p. 36018]. The appeals court accepted that the law was ambiguous and that Nofziger might not have known that he was committing an illegal act. On Dec. 11 the Supreme Court refused to review the unanimous refusal on Sept. 8 by the Court of Appeals to reconsider the earlier decision.","Nofziger was unaware that he was breaking the law.",8,"67.16","no-context",37.4678166666667,"14"
"screener_10","""I don't care where you're going."" She went away, and after a minute or two he got up from his bed and went to the window. She was in the garden with the setters on their leads.","She stayed inside.",9,"0.00","no-context",37.4678166666667,"14"
"screener_5","Drug dealer Robert McCubbin was shot two times in the shoulder and back with a pump action shot gun. It happened outside his home at Wainers Croft in Milton Keynes in June last year. At Northampton Crown court John Baillie has denied murder.","John Baillie was accused of murdering a drug dealer.",10,"100.00","no-context",37.4678166666667,"14"
"screener_4","Still in their pajamas, the kids tore into their Christmas stockings. They were stuffed to the brim with chocolates, playing cards, trinkets, lottery tickets, and fruits. Mom and dad sipped their coffee and smiled.","One of the kids won the lottery.",11,"50.15","no-context",37.4678166666667,"14"
"screener_6","He was taken to another hospital where a diagnosis of vertigo due to otitis media was made, and he was discharged on oral antibiotics. The next morning the patient could not be roused. In the emergency room he appeared deeply comatose: his eyes were closed and he did not react to noxious stimuli.","The patient was faking illness.",12,"8.82","no-context",37.4678166666667,"14"
"screener_2","12-3-3 Excise Taxes<br>Revenue from excise duties on home-produced goods and services and imports comes mainly from three sources: tobacco, alcoholic drinks and hydrocarbon oil (predominantly petrol and diesel oil). In the UK, tobacco, for example, is taxed as a specific duty per unit of quantity and an ad valorem element based on the recommended retail price of 21 per cent.","There is more excise tax revenue from tobacco than from fashion.",13,"96.43","no-context",37.4678166666667,"14"
"screener_7","On the desk, Ms. Ellis always kept a bowl of candy. She filled it evenly with chocolate (for her favorites) and licorice (for everyone else). While she wasn’t looking, Dan reached in, quickly grabbed a handful, and tossed one to me.","Dan tossed me a chocolate.",14,"60.71","no-context",37.4678166666667,"14"
"screener_9","He pulled out the slip of paper with her number on it. In horror, he saw that the last number had been torn off. But things weren’t so bad: there were only 10 numbers to try.","Her number ends in 1, 2, or 3.",15,"56.58","no-context",37.4678166666667,"14"
"practice_1","","",3,"50.30","context",12.1258666666667,"13"
"practice_1","","",3,"100.00","context",12.1258666666667,"13"
"practice_2","","",4,"9.24","context",12.1258666666667,"13"
"practice_2","","",4,"0.00","context",12.1258666666667,"13"
"practice_2","","",4,"1.42","context",12.1258666666667,"13"
"practice_2","","",4,"1.42","context",12.1258666666667,"13"
"practice_2","","",4,"1.42","context",12.1258666666667,"13"
"practice_2","","",4,"0.49","context",12.1258666666667,"13"
"practice_3","","",5,"79.66","context",12.1258666666667,"13"
"screener_5","Drug dealer Robert McCubbin was shot two times in the shoulder and back with a pump action shot gun. It happened outside his home at Wainers Croft in Milton Keynes in June last year. At Northampton Crown court John Baillie has denied murder.","John Baillie was accused of murdering a drug dealer.",6,"90.06","context",12.1258666666667,"13"
"screener_2","12-3-3 Excise Taxes<br>Revenue from excise duties on home-produced goods and services and imports comes mainly from three sources: tobacco, alcoholic drinks and hydrocarbon oil (predominantly petrol and diesel oil). In the UK, tobacco, for example, is taxed as a specific duty per unit of quantity and an ad valorem element based on the recommended retail price of 21 per cent.","There is more excise tax revenue from tobacco than from fashion.",7,"50.30","context",12.1258666666667,"13"
"screener_3","Hölderlin was born in 1770, two years after Winckelmann's death. Like many German poets of his age, he came from a clerical family and was intended for the church. The passion of his life, however, was Greece.","Hölderlin became personally acquainted with Winckelmann in 1789.",8,"0.00","context",12.1258666666667,"13"
"screener_10","""I don't care where you're going."" She went away, and after a minute or two he got up from his bed and went to the window. She was in the garden with the setters on their leads.","She stayed inside.",9,"0.00","context",12.1258666666667,"13"
"screener_6","He was taken to another hospital where a diagnosis of vertigo due to otitis media was made, and he was discharged on oral antibiotics. The next morning the patient could not be roused. In the emergency room he appeared deeply comatose: his eyes were closed and he did not react to noxious stimuli.","The patient was faking illness.",10,"0.81","context",12.1258666666667,"13"
"screener_7","On the desk, Ms. Ellis always kept a bowl of candy. She filled it evenly with chocolate (for her favorites) and licorice (for everyone else). While she wasn’t looking, Dan reached in, quickly grabbed a handful, and tossed one to me.","Dan tossed me a chocolate.",11,"50.30","context",12.1258666666667,"13"
"screener_1","The following night, Vega was prepared to go on but it was decided that since the crowd seemed even more hyper than the previous evening, the risk of damage to singer and gear was felt to be too great. He was eventually paid off — and apparently he got more money for not appearing than playing his set. This is very much in the Vega/Suicide tradition: in 1978 when Suicide supported The Clash on their UK tour, there were incredible scenes of carnage as the band were attacked by meathead Clash fans with bottles and fireworks.","Most of the violent Clash fans were intoxicated from drugs and alcohol.",12,"81.29","context",12.1258666666667,"13"
"screener_9","He pulled out the slip of paper with her number on it. In horror, he saw that the last number had been torn off. But things weren’t so bad: there were only 10 numbers to try.","Her number ends in 1, 2, or 3.",13,"31.18","context",12.1258666666667,"13"
"screener_8","Nofziger, who had headed the White House Office of Political Affairs in 1981-82, had been convicted of illegal lobbying for the Wedtech Corp. within a year of leaving office, fined $30,000 and sentenced to 90 days in prison [see p. 36018]. The appeals court accepted that the law was ambiguous and that Nofziger might not have known that he was committing an illegal act. On Dec. 11 the Supreme Court refused to review the unanimous refusal on Sept. 8 by the Court of Appeals to reconsider the earlier decision.","Nofziger was unaware that he was breaking the law.",14,"50.45","context",12.1258666666667,"13"
"screener_4","Still in their pajamas, the kids tore into their Christmas stockings. They were stuffed to the brim with chocolates, playing cards, trinkets, lottery tickets, and fruits. Mom and dad sipped their coffee and smiled.","One of the kids won the lottery.",15,"0.72","context",12.1258666666667,"13"
